CD_MUNICIPIO,NM_MUNICIPIO,NM_LOCAL_VOTACAO_ORIGINAL,NM_BAIRRO,Bairro,Local,Endereco,end,end_padrao,latitude,longitude,zona
97012.0,BRASÍLIA,COLÉGIO MARISTA - ÁGUAS CLARAS,AGUAS CLARAS - TAGUATINGA SUL,,,,,,-15.83691175,-48.00788996,15
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 06 DE BRASÍLIA,LAGO SUL,,,,,,-15.8557152,-47.8773237,18
97012.0,BRASÍLIA,CENTRO DE ENSINO MEDIO 01 - GINÁSIO,SOBRADINHO,,,,,,-15.653202,-47.7988157,5
97012.0,BRASÍLIA,COLÉGIO KAIRÓS (ANTIGO INSTITUTO EDUCACIONAL SAGARANA,TAGUATINGA NORTE,,,,,,-15.8086744,-48.0417792,19
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 01 DO PARANOA,PARANOÁ,,,,,,-15.7824219,-47.7796502,2
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 802 DO RECANTO DAS EMAS,RECANTO DAS EMAS,,,,,,-15.9235038,-48.0516079,21
97012.0,BRASÍLIA,ESCOLA CLASSE 06,PLANALTINA,,,,,,-15.627572,-47.6464536,6
97012.0,BRASÍLIA,ESCOLA CLASSE PARANA,PLANALTINA,,,,,,-15.6153792,-47.6455138,6
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 1,GUARA II,,,,,,-15.8434501,-47.968274,9
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 19,CEILANDIA SUL,,,,,,-15.82647,-48.1145881,20
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 07,TAGUATINGA NORTE,,,,,,-15.80464201,-48.10020108,3
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 02 DO ARAPOANGA,ARAPOANGA,,,,,,-15.6363203,-47.6328372,6
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 31 (ANTIGO CE 17 E 53),CEILANDIA NORTE,,,,,,-15.798735,-48.1347269,16
97012.0,BRASÍLIA,ESCOLA CLASSE N 27,TAGUATINGA NORTE,,,,,,-15.8129134,-48.0683878,19
97012.0,BRASÍLIA,UNIPLAN -CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL,AGUAS CLARAS - TAGUATINGA SUL,,,,,,-15.8385399,-48.0264639,15
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 17,TAGUATINGA NORTE,,,,,,-15.79641611,-48.10255952,3
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 02,CRUZEIRO NOVO,,,,,,-15.7963466,-47.938137,11
97012.0,BRASÍLIA,ESCOLA CLASSE 102  DO RECANTO DAS EMAS,RECANTO DAS EMAS,,,,,,-15.9018579,-48.0613733,21
97012.0,BRASÍLIA,CENTRO EDUCACIONAL DELTA,SETOR RESIDENCIAL LESTE,,,,,,-15.6135342,-47.6456751,6
97012.0,BRASÍLIA,ESCOLA CLASSE 15,PLANALTINA,,,,,,-15.6186277,-47.6850055,6
97012.0,BRASÍLIA,COLÉGIO IDEAL - ENSINO MÉDIO,SUL (AGUAS CLARAS),,,,,,-15.8455684,-48.0292938,15
97012.0,BRASÍLIA,ESCOLA CLASSE 06,PLANALTINA,,,,,,-15.627572,-47.6464536,6
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 02,CEILANDIA SUL,,,,,,-15.8215017,-48.104945,8
97012.0,BRASÍLIA,ESCOLA CLASSE 15,SOBRADINHO,,,,,,-15.6523248,-47.8088442,5
97012.0,BRASÍLIA,CENTRO DE ENSINO ESPECIAL 01,TAGUATINGA NORTE,,,,,,-15.81683582,-48.08506399,3
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 06,CEILANDIA SUL,,,,,,-15.8441334,-48.1157958,20
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 01 DO VARJAO,VARJÃO,,,,,,-15.709757,-47.8779439,2
97012.0,BRASÍLIA,ESCOLA CLASSE 304 NORTE,ASA NORTE,,,,,,-15.7765412,-47.8862212,14
97012.0,BRASÍLIA,CEF 01 - CENTRO DE ENSINO FUNDAMENTAL 01 DO GAMA,SETOR NORTE,,,,,,-16.0069911,-48.0621491,17
97012.0,BRASÍLIA,ESCOLA CLASSE  MESTRE D'ARMAS,PLANALTINA,,,,,,-15.6722441,-47.6465416,6
97012.0,BRASÍLIA,ESCOLA CLASSE 14,SETOR RESIDENCIAL LESTE,,,,,,-15.6138097,-47.6319411,6
97012.0,BRASÍLIA,CENTRO DE ENSINO ESPECIAL 1,GUARA I,,,,,,-15.8189486,-47.9859579,9
97012.0,BRASÍLIA,ESCOLA CLASSE 13 AR 05,SOBRADINHO II,,,,,,-15.6402763,-47.8245668,5
97012.0,BRASÍLIA,ESCOLA CLASSE N 11,TAGUATINGA SUL,,,,,,-15.85681992,-48.04410488,15
97012.0,BRASÍLIA,ESCOLA CLASSE 01 SHI SUL - LAGO SUL,LAGO SUL,,,,,,-15.8472647,-47.8929667,18
97012.0,BRASÍLIA,CIL-CENTRO INTERESCOLAR DE LINGUAS DO RIACHO FUNDO I,RIACHO FUNDO,,,,,,-15.88876224,-48.01506948,10
97012.0,BRASÍLIA,ESCOLA SALESIANA BRASÍLIA,ASA SUL,,,,,,-15.80002379,-47.8962682,1
97012.0,BRASÍLIA,ESCOLA CLASSE 24,CEILANDIA SUL,,,,,,-15.831522,-48.1118638,20
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL N 12,TAGUATINGA NORTE,,,,,,-15.80361704,-48.07284021,19
97012.0,BRASÍLIA,EC 01 - ESCOLA CLASSE 01 DO GAMA,SETOR LESTE,,,,,,-16.0175889,-48.0547738,17
97012.0,BRASÍLIA,ESCOLA CLASSE 316 SUL,ASA SUL,,,,,,-15.83034649,-47.92706534,1
97012.0,BRASÍLIA,ESCOLA CLASSE 16 DE SOBRADINHO - NOVA COLINA,SOBRADINHO,,,,,,-15.6491864,-47.7548303,5
97012.0,BRASÍLIA,UDF SEPS 704/904,ASA SUL,,,,,,-15.80278311,-47.8992616,1
97012.0,BRASÍLIA,ESCOLA CLASSE 29,CEILANDIA NORTE,,,,,,-15.815495,-48.1209,8
97012.0,BRASÍLIA,CENTRO DE ENSINO MARIA DO ROSARIO G.SILVA,CEILANDIA NORTE,,,,,,-15.8098917,-48.1228517,8
97012.0,BRASÍLIA,ESCOLA CLASSE 410,SAMAMBAIA,,,,,,-15.85869952,-48.07949245,13
97012.0,BRASÍLIA,COLEGIO ELITE (ANTIGO JK),GUARA I,,,,,,-15.8124054,-47.9896604,9
97012.0,BRASÍLIA,CEAN - CENTRO DE ENSINO MEDIO ASA NORTE,ASA NORTE,,,,,,-15.7666681,-47.8760274,14
97012.0,BRASÍLIA,CENTRO EDUC STELLA MARIS,TAGUATINGA CENTRO,,,,,,-15.8322195,-48.0561993,15
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 13,CEILANDIA SUL,,,,,,-15.8492055,-48.1178747,20
97012.0,BRASÍLIA,CEF 10 - CENTRO DE ENSINO FUNDAMENTAL 10 DO GAMA,SETOR OESTE,,,,,,-16.0143661,-48.0748285,17
97012.0,BRASÍLIA,CENTRO DE ENSINO SANTA RITA DE CASSIA,SOBRADINHO,,,,,,-15.6428661,-47.8029933,5
97012.0,BRASÍLIA,CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES,ARAPOANGA,,,,,,-15.6405917,-47.6291601,6
97012.0,BRASÍLIA,FACULDADE PROJEÇÃO- PERTO TERMINAL RODOVIARIO GUARA II,GUARA II,,,,,,-15.8397279,-47.9661114,9
97012.0,BRASÍLIA,COLÉGIO VITÓRIA RÉGIA - UNIDADE 1,TAGUATINGA NORTE,,,,,,-15.80891758,-48.02589453,19
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 403 DE SANTA MARIA,SANTA MARIA,,,,,,-16.03781476,-48.02642749,4
97012.0,BRASÍLIA,ESCOLA CLASSE 325,SAMAMBAIA,,,,,,-15.89720339,-48.12272584,13
97012.0,BRASÍLIA,CENTRO EDUCACIONAL ORIGEM,NUCLEO BANDEIRANTE,,,,,,-15.8754599,-47.9762101,10
97012.0,BRASÍLIA,CEM 01 - CENTRO DE ENSINO MEDIO 01 DO GAMA,SETOR LESTE,,,,,,-16.0184307,-48.0541323,17
97012.0,BRASÍLIA,CENTRO EDUCACIONAL SAO JOSE,SAO SEBASTIAO,,,,,,-15.9128505,-47.7595335,18
97012.0,BRASÍLIA,ESCOLA CLASSE 36,CEILANDIA NORTE,,,,,,-15.8178025,-48.1269999,8
