Ano de eleição;Cargo;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;UF;Zona;Votos válidos;Votos nominais;Data de carga
2002;Presidente;97012;#NE;Casado(a);55 a 59 anos;Masculino;Fundamental completo;BRASILIA;LUIZ INACIO LULA DA SILVA;13;OUTROS;PT;CENTRO-OESTE;Segundo turno;1;DF;15;76989;37503;2023-06-20 12:13:28
2002;Governador;97012;#NE;Casado(a);40 a 44 anos;Masculino;Superior completo;BRASILIA;RODRIGO SOBRAL ROLLEMBERG;40;SENADOR, DEPUTADO E VEREADOR;PSB;CENTRO-OESTE;Não Eleito;1;DF;14;94797;13588;2023-06-20 12:13:28
2002;Presidente;97012;#NE;Casado(a);40 a 44 anos;Masculino;Médio incompleto;BRASILIA;ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA;40;LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;PSB;CENTRO-OESTE;Não Eleito;1;DF;15;76989;13735;2023-06-20 12:13:28
2002;Governador;97012;#NE;Solteiro(a);40 a 44 anos;Masculino;Superior completo;BRASILIA;EXPEDITO CARNEIRO DE MENDONÇA;29;SERVIDOR PUBLICO FEDERAL;PCO;CENTRO-OESTE;Não Eleito;1;DF;2;51766;17;2023-06-20 12:13:28
2002;Governador;97012;#NE;Casado(a);50 a 54 anos;Masculino;Superior completo;BRASILIA;ORLANDO CARIELLO FILHO;16;ARQUITETO;PSTU;CENTRO-OESTE;Não Eleito;1;DF;4;69617;121;2023-06-20 12:13:28
2002;Governador;97012;#NE;Casado(a);65 a 69 anos;Masculino;Superior incompleto;BRASILIA;JOAQUIM DOMINGOS RORIZ;15;Não informada;PMDB;CENTRO-OESTE;Segundo turno;1;DF;4;69617;37826;2023-06-20 12:13:28
2002;Governador;97012;#NE;Casado(a);45 a 49 anos;Masculino;Médio completo;BRASILIA;GERALDO MAGELA PEREIRA;13;BANCARIO E ECONOMIARIO;PT;CENTRO-OESTE;Segundo turno;1;DF;10;48010;15532;2023-06-20 12:13:28
2002;Senador;97012;#NE;Separado(a) judicialmente;40 a 44 anos;Masculino;Superior completo;BRASILIA;ANTONIO RICARDO MARTINS GUILLEN;161;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;PSTU;CENTRO-OESTE;Não Eleito;1;DF;1;197441;354;2023-06-20 12:13:28
2002;Senador;97012;#NE;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASILIA;AURELIO FEITOSA MATTOS FILHO;565;MEMBRO DAS FORCAS ARMADAS;PRONA;CENTRO-OESTE;Não Eleito;1;DF;4;128956;151;2023-06-20 12:13:28
2002;Senador;97012;#NE;Casado(a);70 a 74 anos;Masculino;Superior completo;BRASILIA;LAURO ALVARES DA SILVA CAMPOS;123;SENADOR, DEPUTADO E VEREADOR;PDT;CENTRO-OESTE;Não Eleito;1;DF;2;96126;3986;2023-06-20 12:13:28
2002;Senador;97012;#NE;Divorciado(a);65 a 69 anos;Masculino;Superior completo;BRASILIA;JOFRAN FREJAT;115;MEDICO;PPB;CENTRO-OESTE;Não Eleito;1;DF;9;149709;25556;2023-06-20 12:13:28
2002;Senador;97012;#NE;Casado(a);65 a 69 anos;Masculino;Superior completo;BRASILIA;CELSON CARLOS BATISTA DE OLIVEIRA;701;Não informada;PT do B;CENTRO-OESTE;Não Eleito;1;DF;13;159494;373;2023-06-20 12:13:28
2002;Senador;97012;#NE;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASILIA;AURELIO FEITOSA MATTOS FILHO;565;MEMBRO DAS FORCAS ARMADAS;PRONA;CENTRO-OESTE;Não Eleito;1;DF;16;128771;195;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);35 a 39 anos;Masculino;Superior completo;BRASILIA;WASHINGTON DIAS LEITE;1616;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;PSTU;CENTRO-OESTE;Não Eleito;1;DF;1;97067;108;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);35 a 39 anos;Masculino;Médio completo;BRASILIA;ROBSON VIEIRA DE SOUZA;4040;POLICIAL MILITAR;PSB;CENTRO-OESTE;Não Eleito;1;DF;1;97067;32;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);35 a 39 anos;Masculino;Superior completo;BRASILIA;WASHINGTON DIAS LEITE;1616;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;PSTU;CENTRO-OESTE;Não Eleito;1;DF;2;49080;42;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASILIA;LUIZ AUGUSTO COELHO NETTO;2818;OUTROS;PRTB;CENTRO-OESTE;Não Eleito;1;DF;2;49080;3;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Divorciado(a);40 a 44 anos;Masculino;Médio incompleto;BRASILIA;ROBERTO SALES DE ANDRADE;2020;Não informada;PSC;CENTRO-OESTE;Não Eleito;1;DF;2;49080;4;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Solteiro(a);45 a 49 anos;Masculino;Médio incompleto;BRASILIA;SIDNEI RODRIGUES VALENÇA;7070;MUSICO;PT do B;CENTRO-OESTE;Não Eleito;1;DF;2;49080;2;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Divorciado(a);50 a 54 anos;Masculino;Médio completo;BRASILIA;JOSÉ NOGUEIRA DOS SANTOS;2000;CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;PSC;CENTRO-OESTE;Não Eleito;1;DF;3;87889;29;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASILIA;DANIEL DE SOUZA PINTO JUNIOR;2611;MILITAR REFORMADO;PAN;CENTRO-OESTE;Não Eleito;1;DF;3;87889;102;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Divorciado(a);60 a 64 anos;Masculino;Superior completo;BRASILIA;SIOMAR RODRIGUES DE SOUSA;1115;COMERCIANTE;PPB;CENTRO-OESTE;Não Eleito;1;DF;4;66084;12;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Viúvo(a);70 a 74 anos;Masculino;Superior completo;BRASILIA;ALAN VIGGIANO;4050;SERVIDOR PUBLICO CIVIL APOSENTADO;PSB;CENTRO-OESTE;Não Eleito;1;DF;5;65808;8;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Divorciado(a);50 a 54 anos;Feminino;Superior completo;BRASILIA;LIVIA MARIA LÉDO PIO DE ABREU;2803;ADVOGADO;PRTB;CENTRO-OESTE;Não Eleito;1;DF;5;65808;5;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASILIA;ANTONIO DOS SANTOS PEDREIRA;1213;RELACOES PUBLICAS;PDT;CENTRO-OESTE;Não Eleito;1;DF;6;61326;30;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASILIA;RENAULT VIEIRA DE SOUZA;2347;OUTROS;PPS;CENTRO-OESTE;Não Eleito;1;DF;6;61326;192;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);45 a 49 anos;Masculino;Superior completo;BRASILIA;CAETANO ERNESTO PEREIRA DE ARAÚJO;2322;PROFESSOR DE ENSINO SUPERIOR;PPS;CENTRO-OESTE;Não Eleito;1;DF;6;61326;90;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);50 a 54 anos;Masculino;Superior completo;BRASILIA;KALIL CHATER;4533;ADVOGADO;PSDB;CENTRO-OESTE;Suplente;1;DF;6;61326;402;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);40 a 44 anos;Masculino;Superior completo;BRASILIA;WEBER DE AZEVEDO MAGALHAES;2505;SERVIDOR PUBLICO FEDERAL;PFL;CENTRO-OESTE;Suplente;1;DF;6;61326;702;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Solteiro(a);50 a 54 anos;Feminino;Superior completo;BRASILIA;MARIA JOSÉ DA CONCEIÇÃO MANINHA;1310;MEDICO;PT;CENTRO-OESTE;Eleito;1;DF;6;61326;6775;2023-06-20 12:13:28
2002;Deputado Federal;97012;#NE;Casado(a);45 a 49 anos;Masculino;Superior completo;BRASILIA;JOSÉ ROBERTO ARRUDA;2525;ENGENHEIRO;PFL;CENTRO-OESTE;Eleito;1;DF;7;31676;8865;2023-06-20 12:13:28
